property_type,society,sector,price,area,price_per_sqft,areaWithType,bedRoom,bathroom,balcony,floorNum,facing,agePossession,super_built_up_area,built_up_area,carpet_area,study room,servant room,store room,pooja room,others,furnishing_type,luxury_score,area_room_ratio
flat,dlf regal gardens,sector 90,1.29,1430.0,9021.0,Super Built up area 1702(158.12 sq.m.)Built Up area: 1540 sq.ft. (143.07 sq.m.)Carpet area: 1430 sq.ft. (132.85 sq.m.),3,3,3,7.0,East,Relatively New,1702.0,1540.0,1430.0,1,0,0,0,0,2,174,476.6666666666667
flat,ireo the grand arch,sector 58,2.2,1375.0,16000.0,Carpet area: 1375 (127.74 sq.m.),2,2,1,5.0,East,Relatively New,,,1375.0,0,0,0,1,0,1,49,687.5
flat,ireo victory valley,sector 67,2.95,2436.0,12110.0,Super Built up area 2436(226.31 sq.m.)Built Up area: 2236 sq.ft. (207.73 sq.m.)Carpet area: 2036 sq.ft. (189.15 sq.m.),3,3,3+,14.0,South,Moderately Old,2436.0,2236.0,2036.0,0,1,0,1,0,1,165,812.0
flat,puri emerald bay,sector 104,2.23,2250.0,9911.0,Super Built up area 2450(227.61 sq.m.)Carpet area: 2250 sq.ft. (209.03 sq.m.),3,4,3+,10.0,East,Relatively New,2450.0,,2250.0,0,1,0,0,0,1,159,750.0
flat,raheja vedaanta,sector 108,0.7,1548.0,4522.0,Built Up area: 1548 (143.81 sq.m.)Carpet area: 1200 sq.ft. (111.48 sq.m.),2,2,3,1.0,West,Undefined,,1548.0,1200.0,0,0,0,0,0,2,0,774.0
flat,la vida by tata housing,sector 113,1.5,1276.0,11755.0,Carpet area: 1276 (118.54 sq.m.),2,2,2,13.0,,New Property,,,1276.0,0,0,0,0,0,2,71,638.0
flat,green court,sector 90,0.47,690.0,6812.0,Carpet area: 690 (64.1 sq.m.),2,2,1,0.0,East,New Property,,,690.0,0,0,0,0,0,2,49,345.0
house,independent,sector 38,3.9,1836.0,21242.0,Plot area 204(170.57 sq.m.),6,6,3+,3.0,North-East,Moderately Old,,1836.0,,1,1,0,1,0,2,32,306.0
flat,m3m heights,sector 65,2.33,1261.0,18477.0,Super Built up area 1261(117.15 sq.m.),2,2,3,35.0,North-East,Under Construction,1261.0,,,0,0,0,0,0,1,49,630.5
flat,emaar mgf emerald floors premier,sector 65,2.75,1975.0,13924.0,Super Built up area 1975(183.48 sq.m.)Built Up area: 1750 sq.ft. (162.58 sq.m.)Carpet area: 1650 sq.ft. (153.29 sq.m.),4,4,3,3.0,North-West,Relatively New,1975.0,1750.0,1650.0,1,1,0,0,0,1,113,493.75
